BLOCK ram          0x01100000..0x011a863f  total=689728  code=435792 (63.18%)  data=172545 (25.02%)  undef=81391 (11.80%)

TOTAL total=689728  code=435792 (63.18%)  data=172545 (25.02%)  undef=81391 (11.80%)
FUNCTIONS 1686

UNDEFINED RUNS: 3448 (largest first)
  0x0119cd50  len=8
  0x0119cd68  len=8
  0x0119cd80  len=8
  0x0119cdc8  len=8
  0x0119cde0  len=8
  0x0119cdf8  len=8
  0x0119ce10  len=8
  0x0119ce28  len=8
  0x0119ce40  len=8
  0x0119ce58  len=8
  0x0119ce70  len=8
  0x0119ce88  len=8
  0x0119cea0  len=8
  0x0119ceb8  len=8
  0x0119ced0  len=8
  0x0119cee8  len=8
  0x0119cf00  len=8
  0x0119cf18  len=8
  0x0119cf30  len=8
  0x0119cf48  len=8
  0x0119cf60  len=8
  0x0119cf78  len=8
  0x0119cf90  len=8
  0x0119cfa8  len=8
